uid,brand,url,price,currency,image_url,collection,reference_code,life_span_date,life_span,price_eur,year,quarter,price_category,year_quarter
797622,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01291-submersible-chrono-mike-horn-edition---47mm.html,20200,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/30/76/2/2230762.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/30/76/2/2230762.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01291,2021-11-30,Q4 November 2021,19367.209971236818,2021,4,Mid Range,2021Q4
797623,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01240-submersible-s-brabus-black-ops-edition.html,45200,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/37/08/6/2237086.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/37/08/6/2237086.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01240,2021-11-30,Q4 November 2021,43336.529242569515,2021,4,High End,2021Q4
797624,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01223-submersible---42mm.html,8800,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/95/84/2/2195842.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/95/84/2/2195842.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01223,2021-11-30,Q4 November 2021,8437.200383509109,2021,4,Entry Level,2021Q4
797625,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01163-submersible-chrono-paltrinieri-edition---47mm.html,29800,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/69/24/2/2169242.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/69/24/2/2169242.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01163,2021-11-30,Q4 November 2021,28571.428571428572,2021,4,High End,2021Q4
797626,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01068-submersible-blu-notte.html,10600,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/69/21/8/2169218.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/69/21/8/2169218.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01068,2021-11-30,Q4 November 2021,10162.991371045064,2021,4,Mid Range,2021Q4
797627,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01074-submersible-bronzo-blu-abisso.html,15700,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/33/34/4/2133344.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/33/34/4/2133344.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01074,2021-11-30,Q4 November 2021,15052.732502396933,2021,4,Mid Range,2021Q4
797628,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01209-submersible-azzurro---42mm.html,9700,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/22/26/6/2222266.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/22/26/6/2222266.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01209,2021-11-30,Q4 November 2021,9300.095877277086,2021,4,Entry Level,2021Q4
797629,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01070-submersible-goldtech-orocarbo---44mm.html,30500,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/81/27/2/2081272.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/81/27/2/2081272.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01070,2021-11-30,Q4 November 2021,29242.56951102589,2021,4,High End,2021Q4
797630,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00968-submersible-bronzo---47mm.html,16700,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/95/60/5/1895605.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/95/60/5/1895605.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00968,2021-11-30,Q4 November 2021,16011.50527325024,2021,4,Mid Range,2021Q4
797631,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00960-submersible-carbotech---42mm.html,17200,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/3/1818653.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/3/1818653.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00960,2021-11-30,Q4 November 2021,16490.891658676894,2021,4,Mid Range,2021Q4
